"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\mainscripts.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\morrisscripts.bundle.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\sparkline.bundle.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\vendorscripts.bundle.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\mainProject\pages\admin\assets\css\style.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\mainProject\pages\admin\assets\css\weather-icons.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 39, 0, 41
"c:\xampp\htdocs\mainProject\pages\admin\assets\fonts\themify9f24.svg", "XML", 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 362
"c:\xampp\htdocs\mainProject\pages\admin\assets\fonts\weathericons-regular-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 257
"c:\xampp\htdocs\mainProject\pages\admin\assets\images\404.svg", "XML", 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 1, 1, 262
"c:\xampp\htdocs\mainProject\pages\admin\assets\images\loader.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"c:\xampp\htdocs\mainProject\pages\admin\assets\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"c:\xampp\htdocs\mainProject\pages\admin\assets\images\maintanance.svg", "XML", 0, 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 1, 2, 396
"c:\xampp\htdocs\mainProject\pages\admin\assets\images\signin.svg", "XML", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 1, 2, 220
"c:\xampp\htdocs\mainProject\pages\admin\assets\images\signup.svg", "XML", 0, 0, 0, 0, 0, 0, 414, 0, 0, 0, 0, 1, 18, 433
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\blog\blog.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 158
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\calendar\calendar.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 141, 263
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\c3.js", "JavaScript", 0, 569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 615
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\chartjs.js", "JavaScript", 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 261
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\flot.js", "JavaScript", 0, 1364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 47, 1440
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\jquery-knob.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 46
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\jquery-knob.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\morris.js", "JavaScript", 0, 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 291
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\polar_area_chart.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\charts\sparkline.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 23, 197
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\ecommerce.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 164
"c:\xampp\htdocs\mainProject\pages\admin\assets\js\pages\forms\advanced-form-elements.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 118
